                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.59606,                 1.3313,                 1.0703,                0.41058,                0.84095,                 0.5204,                0.48028,                0.40929,                 1.4252,                0.96793,               0.007129,               0.007129,               0.007129
                     89,                0.58974,                 1.3421,                 1.0645,                0.38748,                0.69221,                0.54621,                0.49127,                0.43757,                 1.4345,                 1.0024,               0.007096,               0.007096,               0.007096
                     90,                0.59622,                 1.3781,                 1.0652,                 0.4412,                0.72174,                0.52242,                0.47343,                0.45111,                 1.6597,                0.98765,               0.007063,               0.007063,               0.007063
                     91,                0.58538,                  1.311,                 1.0667,                0.44607,                0.88103,                0.61202,                0.54215,                0.43497,                 1.5357,                0.94605,                0.00703,                0.00703,                0.00703
                     92,                0.56905,                 1.3254,                  1.041,                0.42875,                0.75741,                 0.5417,                0.48637,                0.41234,                 1.4596,                0.96101,               0.006997,               0.006997,               0.006997
                     93,                0.59332,                 1.3537,                 1.0597,                0.16638,                0.40806,                0.21541,                0.16934,                0.72851,                 2.6546,                 1.3016,               0.006964,               0.006964,               0.006964
                     94,                0.62171,                 1.3457,                 1.0705,                0.45672,                0.78365,                0.57546,                0.52043,                0.40711,                 1.2982,                0.95197,               0.006931,               0.006931,               0.006931
                     95,                0.60498,                 1.3366,                 1.0781,                 0.5254,                 0.7661,                0.56638,                0.50041,                0.43082,                 1.3601,                0.98966,               0.006898,               0.006898,               0.006898
                     96,                0.59583,                 1.3083,                 1.0608,                0.45306,                0.75914,                0.58996,                0.53742,                0.41783,                 1.2222,                0.96307,               0.006865,               0.006865,               0.006865
                     97,                0.57954,                 1.3159,                 1.0523,                0.43659,                0.75903,                 0.6297,                0.55612,                0.43639,                 1.4677,                0.95849,               0.006832,               0.006832,               0.006832
                     98,                0.60234,                 1.3899,                 1.0723,                 0.5041,                0.54545,                0.48891,                0.44272,                0.45979,                 2.3089,                 1.0095,               0.006799,               0.006799,               0.006799
                     99,                0.59883,                 1.3704,                 1.0558,                0.46261,                0.76157,                0.57133,                 0.5025,                0.45965,                 1.5305,                 1.0631,               0.006766,               0.006766,               0.006766
                    100,                0.59128,                 1.3015,                 1.0574,                0.57727,                0.78108,                0.60153,                 0.5567,                0.38389,                 1.2553,                0.92025,               0.006733,               0.006733,               0.006733
                    101,                0.57601,                 1.3115,                 1.0403,                0.40516,                0.80926,                0.57062,                0.50626,                 0.5278,                 1.3956,                 1.0127,                 0.0067,                 0.0067,                 0.0067
